Test MSE: 59.4221968464
R-sqruared Adj: 0.515860574289
**************
week,beat,prediction
21,1913,19.8218251864
21,1914,5.88050179282
21,1915,5.66948611601
21,1921,5.66948611601
21,1922,14.9488576298
21,1923,22.758153958
21,1924,22.3065891046
21,1925,5.88050179282
21,1931,15.6678184346
21,1932,22.3065891046
21,1933,22.3065891046
21,1934,5.88050179282
21,1935,5.88050179282
21,2011,15.6678184346
21,2012,14.6855782229
21,2013,14.6855782229
21,2022,10.6792196378
21,2023,14.6855782229
21,2024,14.9488576298
21,2031,13.3988439443
21,2032,11.1836608323
21,2033,12.3768220316
21,2111,11.747083786
21,2112,11.747083786
21,2113,16.3179119615
21,2122,14.9488576298
21,2123,15.3926829481
21,2124,14.9488576298
21,2131,13.3716434304
21,2132,15.6678184346
21,2133,9.61590537514
21,2211,15.6678184346
21,2212,23.1775401728
21,2213,15.6678184346
21,2221,22.3065891046
21,2222,22.758153958
21,2223,22.758153958
21,2232,22.3065891046
21,2233,22.3065891046
21,2234,22.758153958
21,2311,15.6678184346
21,2312,13.6907568241
21,2313,13.7352385899
21,2322,11.7012415505
21,2323,12.7691056987
21,2324,14.6855782229
21,2331,15.2239931163
21,2332,14.6855782229
21,2333,14.9488576298
21,2411,22.3065891046
21,2412,22.3065891046
21,2413,23.1775401728
21,2422,23.1775401728
21,2423,15.6678184346
21,2424,16.2236465849
21,2431,14.9488576298
21,2432,22.3065891046
21,2433,22.758153958
21,2511,14.9488576298
21,2512,29.6069180472
21,2513,14.6855782229
21,2514,22.758153958
21,2515,22.758153958
21,2521,24.304155237
21,2522,22.3065891046
21,2523,20.7977361879
21,2524,15.6678184346
21,2525,15.3926829481
21,2531,22.3065891046
21,2532,23.1775401728
21,2533,31.3747196649
21,2534,29.6069180472
21,2535,26.9345030344
