Test MSE: 10.3476477523
R-sqruared Adj: 0.515418050226
**************
week,beat,prediction
21,1914,3.5475706484
21,1915,3.25516096554
21,1921,3.25516096554
21,1922,3.89859227595
21,1923,5.18945042471
21,1924,5.28020111259
21,1925,3.33780191415
21,1931,3.89859227595
21,1932,3.89859227595
21,1933,3.89859227595
21,1934,3.25516096554
21,1935,3.25516096554
21,2011,5.28020111259
21,2012,3.89859227595
21,2013,3.89859227595
21,2022,4.22584261022
21,2023,3.89859227595
21,2024,5.28020111259
21,2031,3.89859227595
21,2032,3.89859227595
21,2033,4.27580211827
21,2111,3.89859227595
21,2112,3.89859227595
21,2113,5.18945042471
21,2122,5.18945042471
21,2123,6.54251755312
21,2124,5.18945042471
21,2131,3.89859227595
21,2132,5.18945042471
21,2133,3.33780191415
21,2211,5.28020111259
21,2212,8.423827529
21,2213,5.60500019681
21,2221,5.70538060165
21,2222,8.53151412608
21,2223,8.53151412608
21,2232,8.53151412608
21,2233,5.78223904939
21,2234,9.05838510151
21,2311,5.54573772899
21,2312,4.25701602057
21,2313,5.18945042471
21,2322,3.89859227595
21,2323,3.89859227595
21,2324,3.89859227595
21,2331,3.89859227595
21,2332,3.89859227595
21,2333,3.89859227595
21,2411,5.28020111259
21,2412,5.70538060165
21,2413,8.423827529
21,2422,8.74075293273
21,2423,5.28020111259
21,2424,5.70538060165
21,2431,5.43984398524
21,2432,5.70538060165
21,2433,5.70538060165
21,2511,5.18945042471
21,2512,8.423827529
21,2513,3.89859227595
21,2514,5.70538060165
21,2515,8.53151412608
21,2521,8.53151412608
21,2522,8.423827529
21,2523,5.78223904939
21,2524,5.78223904939
21,2525,5.70538060165
21,2531,8.423827529
21,2532,9.16692818769
21,2533,8.73598910868
21,2534,10.0098011827
21,2535,8.53151412608
